filename,jcId,titleFr,validityDate,depositDate,CLA type,CLA status,Sector,Theme,summary,parent_name,parent_comparison
200-2022-009993,2000000,Pension complémentaire pour les employés de l'industrie des briques,,2022-05-18T10:00:00.000+00:00,Concluded on industry level,New,"LA SELLERIE, DE LA FABRICATION DE COURROIES ET ...","['Salaire', 'Fin au contrat de travail et chômage', 'Primes et indemnités pour le travailleur actif']",", le plus grand nombre d'ouvriers (exprimé en ouvriers équivalents temps plein).

Cette convention collective de travail cadre du 12 mai 2022, conclue au sein de la commission paritaire auxiliaire pour employés pour l'activité d'entreprise des briques, a pour but d'instaurer une pension complémentaire. Elle s'applique aux employeurs et employés des entreprises ressortissant à la commission paritaire auxiliaire pour employés qui sont actifs dans l'activité d'entreprise de l'industrie des briques. Elle définit les employés qui relèvent de la compétence de la cp 200 et qui doivent être considérés comme employés de l'activité d'entreprise de l'industrie des briques. Elle définit également le critère de prédominance qui permet de déterminer avec quels collègues-ouvriers les employés ressortissant de la cp 200 concernés se trouvent en miroir à des fins de la pension complémentaire.",,No parent CLA
200-2021-015135,2000000,Prime corona,2022-12-31T11:00:00.000+00:00,2021-12-21T11:00:00.000+00:00,Concluded on industry level,New,Sector not specified,['Primes et indemnités pour le travailleur actif'],"er août 2021. Cette convention collective de travail remplace l'article 6 de la convention collective de travail du 18 novembre 2021 conclue au sein de la commission paritaire auxiliaire pour employés et prise en exécution de l'arrêté royal du 21 juillet 2021 modifiant l'article 19 quinqules de l'arrêté royal du 28 novembre 1969 (n° 168577/co/200). Elle donne aux employeurs l'obligation d'accorder aux employés des « chèques consommation » ou une « prime corona » sous format électronique ou papier selon les modalités prévues dans cette convention, et elle est valable du 1er août 2021 au 31 décembre 2022.",200-2021-013469,"

1er août 2021: CCT pour les salariés du secteur privé; 14: CCT pour les salariés du secteur public."
200-2021-013476,2000000,Dispense de l'obligation de disponibilité adaptée 2023-2024,2024-12-31T11:00:00.000+00:00,2021-11-24T11:00:00.000+00:00,Concluded on industry level,New,"LA SELLERIE, DE LA FABRICATION DE COURROIES ET ...","[""Mesures pour l'emploi et groupes cibles"", ""Mesures pour l'emploi et groupes cibles"", 'Fin au contrat de travail et chômage', 'Primes et indemnités pour le travailleur actif']","

Cette convention collective de travail est applicable aux employeurs et aux employés des entreprises relevant de la compétence de la commission paritaire auxiliaire pour employés. Elle est conclue en vue d'appliquer une dispense de l'obligation de disponibilité adaptée en exécution de l'accord social dans le cadre des négociations interprofessionnelles pour la période 2021-2022. Elle a pour objet de fixer, pendant la période allant du 1er janvier 2023 au 31 décembre 2024, les conditions d'octroi de la dispense de l'obligation de disponibilité adaptée pour les travailleurs âgés licenciés dans le cadre d'un régime de chômage avec complément d'entreprise qui ont une carrière longue. Les travailleurs ayant atteint l'âge de 62 ans ou pouvant justifier d'un passé professionnel de 42 ans, peuvent à leur demande, être dispensés de l'obligation de disponibilité adaptée, à condition qu'ils soient licenciés au plus tard le 30 juin 2023 et qu'ils aient atteint l'âge de 60 ans ou plus au plus tard le 30 juin 2023 et au moment de la fin du contrat de travail. La présente convention collective de travail entre en vigueur le 1er janvier 2023 et cesse d'être en vigueur le 31 décembre 2024.",,No parent CLA
200-2021-013464,2000000,Modification de la CCT concernant la prime de fin d'année,,2021-11-24T11:00:00.000+00:00,Concluded on industry level,New,Sector not specified,"['Fin au contrat de travail et chômage', 'Primes et indemnités pour le travailleur actif']",".

Cette convention collective de travail du 18 novembre 2021 a été conclue au sein de la commission paritaire auxiliaire pour employés afin de modifier la convention collective du 9 juin 2016 concernant la prime de fin d'année. Elle remplace la deuxième condition relative à l'ancienneté, qui se trouve dans l'article 3 de la convention collective du 9 juin 2016, par une ancienneté d'au moins six mois au moment du paiement de la prime, et prend en compte les périodes d'occupation intérimaire pour le calcul de l'ancienneté. La présente convention collective de travail entre en vigueur le 1er janvier 2021 et est conclue pour une durée indéterminée. Elle peut être dénoncée par une des parties, moyennant un préavis de 3 mois, adressé par lettre recommandée au président de la commission paritaire auxiliaire pour employés.",,No parent CLA
200-2021-013465,2000000,Pouvoir d'achat,,2021-11-24T11:00:00.000+00:00,Concluded on industry level,New,Sector not specified,"['Salaire', 'Salaire', 'Salaire', 'Salaire', 'Fin au contrat de travail et chômage', ""Fonctionnement au sein du comité/de l'entreprise"", ""Fonctionnement au sein du comité/de l'entreprise"", 'Primes et indemnités pour le travailleur actif', 'Primes et indemnités pour le travailleur actif']","

Cette convention collective de travail s'applique aux employeurs et employés des entreprises ressortissant à la commission paritaire auxiliaire pour employés. Elle entre en vigueur le 1er janvier 2021 et est conclue pour une durée indéterminée. Elle prévoit une marge maximale de 0,4% pour l'évolution du coût salarial pour la période 2021-2022, ainsi qu'une augmentation des salaires mensuels bruts effectifs de 0,4%. Les augmentations salariales annuelles découlant de l'application des barèmes minimums basés sur l'expérience professionnelle ne sont pas imputées sur cette augmentation. Les organisations syndicales représentées au sein de la CPaE s'engagent à ne pas poser de revendications supplémentaires pendant la durée de la convention. La convention peut être résiliée par chacune des parties moyennant le respect d'un délai de préavis de 3 mois.",,No parent CLA
200-2021-013467,2000000,Modification de la CCT relative au FSE,2023-12-31T11:00:00.000+00:00,2021-11-24T11:00:00.000+00:00,Concluded on industry level,New,Sector not specified,"['Salaire', 'Salaire', ""Mesures pour l'emploi et groupes cibles"", 'Fonds sociaux', 'Fonds sociaux']","

Cette convention collective de travail, enregistrée le 13 décembre 2021, est conclue au sein de la Commission Paritaire Auxiliaire pour Employés. Elle modifie la convention collective de travail du 1er avril 2015 et instaure un fonds de sécurité d'existence. Elle s'applique aux employeurs et employés des entreprises relevant de la compétence de la commission paritaire et fixe une cotisation patronale au fonds social à 0,23% des salaires des employés inclus à partir du 2e trimestre 2022 jusqu'au 4e trimestre 2023. Elle est conclue pour une durée déterminée, produisant ses effets le 1 avril 2022 et prenant fin le 31 décembre 2023.",,No parent CLA
200-2021-013468,2000000,Formation 2022-2023,2023-12-31T11:00:00.000+00:00,2021-11-24T11:00:00.000+00:00,Concluded on industry level,New,Sector not specified,"['Salaire', 'Temps de travail', 'Recrutement et formation', ""Mesures pour l'emploi et groupes cibles"", 'Fonds sociaux', ""Fonctionnement au sein du comité/de l'entreprise"", 'Primes et indemnités pour le travailleur actif']","ioll collective de travail entre en vigueur le 1er janvier 2022 et prend fin le 31 décembre 2023.

Cette convention collective de travail est conclue dans le cadre de l'objectif de formation interprofessionnel, tel que fixé par la loi du 5 mars 2017 concernant le travail faisable et maniable. Elle s'applique aux employeurs et employés des entreprises relevant de la compétence de la commission paritaire auxiliaire pour employés, et est conclue en exécution de l'accord sectoriel 2021-2022 de la commission paritaire auxiliaire pour employés. Elle entre en vigueur le 1er janvier 2022 et prend fin le 31 décembre 2023. Elle prévoit des jours de formation en moyenne par équivalent temps plein qui sont proposés pour la période 2022-2023, selon le nombre de travailleurs de l'entreprise. Les entreprises avec une délégation syndicale peuvent convenir un plan de formation propre à l'entreprise pour la période 2022-2023, et les entreprises sans délégation syndicale peuvent adhérer au plan supplétif de formation par enregistrement auprès du fonds social. Les entreprises bénéficient d'un droit de tirage à charge du cefora pour le développement de leurs initiatives de formation. Enfin, les parties s'engagent à stimuler la mise au travail de chômeurs appartenant aux groupes à risque via la formation et/ou un accompagnement ciblé sur les professions critiques du secteur.",,No parent CLA
200-2021-013471,2000000,Régime de chômage avec complément d'entreprise - Métier lourds,2023-06-30T10:00:00.000+00:00,2021-11-24T11:00:00.000+00:00,Concluded on industry level,New,"LA SELLERIE, DE LA FABRICATION DE COURROIES ET ...","[""Mesures pour l'emploi et groupes cibles"", 'Fin au contrat de travail et chômage', 'Fin au contrat de travail et chômage', 'Primes et indemnités pour le travailleur actif', 'Primes et indemnités pour le travailleur actif']","

Cette convention collective de travail s'applique aux employeurs et employés des entreprises relevant de la compétence de la commission paritaire auxiliaire pour employés. Elle est conclue en exécution de la convention collective de travail n° 151 du conseil national du travail du 15 juillet 2021 et de l'arrêté royal du 3 mai 2007 fixant le régime de chômage avec complément d'entreprise. Elle abaisse la condition d'âge à 60 ans pour les employés licenciés qui satisfont aux conditions prévues par la convention collective de travail n° 151 et la convention collective de travail n° 143 du 23 avril 2019. Elle est en vigueur du 1er juillet 2021 au 30 juin 2023.",,No parent CLA
200-2021-013472,2000000,Régime de chômage avec complément d'entreprise - Carrière longue,2023-06-30T10:00:00.000+00:00,2021-11-24T11:00:00.000+00:00,Concluded on industry level,New,"LA SELLERIE, DE LA FABRICATION DE COURROIES ET ...","[""Mesures pour l'emploi et groupes cibles"", 'Fin au contrat de travail et chômage', 'Fin au contrat de travail et chômage', 'Primes et indemnités pour le travailleur actif']","

La présente convention collective de travail s'applique aux employeurs et employés des entreprises relevant de la compétence de la commission paritaire auxiliaire pour employés. Elle est conclue en exécution de la convention collective de travail n° 152 du conseil national du travail du 15 juillet 2021 instituant, pour la période allant du 1er juillet 2021 au 30 juin 2023, un régime de complément d'entreprise pour certains travailleurs âgés licenciés, ayant une carrière longue. Elle prévoit l'octroi d'une indemnité complémentaire aux employés qui sont licenciés pour des raisons autres que le motif grave et qui satisfont aux conditions citées ci-après, notamment une carrière professionnelle d'au moins 40 ans au moment de la fin du contrat de travail et au moins 10 ans de service chez le dernier employeur. La condition d'âge de 60 ans doit être remplie au plus tard au 30 juin 2023 et, de plus, au moment de la fin du contrat de travail. La présente convention collective de travail entre en vigueur le 1er juillet 2021 et cesse d'être en vigueur le 30 juin 2023.",,No parent CLA
200-2021-013473,2000000,Crédit-temps 2021-2022,2022-12-31T11:00:00.000+00:00,2021-11-24T11:00:00.000+00:00,Concluded on industry level,New,"LA SELLERIE, DE LA FABRICATION DE COURROIES ET ...","['Salaire', 'Recrutement et formation', 'Fonds sociaux', ""Fonctionnement au sein du comité/de l'entreprise"", 'Primes et indemnités pour le travailleur actif', 'Primes et indemnités pour le travailleur actif']","

Cette convention collective de travail du 18 novembre 2021 conclue au sein de la commission paritaire auxiliaire pour employés concerne le crédit-temps (soin, formation, fin de carrière) en 2021-2022. Elle s'applique aux employeurs et employés des entreprises relevant de la compétence de la commission paritaire auxiliaire pour employés. Elle prévoit un droit de 24 mois au crédit-temps à temps plein ou à mi-temps avec motif pour les employés ayant une ancienneté de 5 ans ou plus, et un droit de 36 mois au crédit-temps à temps plein ou à mi-temps avec motif pour les employés ayant une ancienneté de 5 ans ou plus. Elle prévoit également un droit de 51 mois au crédit-temps à temps plein ou à mi-temps avec motif pour les employés ayant une ancienneté de 5 ans ou plus. Elle prévoit également l'âge d'accès au droit à la diminution à mi-temps dans le cadre des emplois de fin de carrière pour les travailleurs plus âgés, ainsi qu'une indemnité complémentaire à charge du fonds social. La présente convention collective de travail entre en vigueur le 1er janvier 2021, à l'exception du chapitre II relatif au crédit-temps soin/formation qui entre en vigueur le 1er janvier 2022, et cesse ses effets le 31 décembre 2022.",,No parent CLA
